day,u_casemix,u_incident,u_incident_shift,u_arr_morning,u_arr_evening,u_arr_night,u_bedhrs_morning,u_bedhrs_evening,u_bedhrs_night,u_abs_doctor_morning,u_abs_doctor_evening,u_abs_doctor_night,u_abs_nurse_morning,u_abs_nurse_evening,u_abs_nurse_night,u_abs_tech_morning,u_abs_tech_evening,u_abs_tech_night
37,0.563377,0.352959,0.024452,0.588333,0.443729,0.895469,0.413255,0.379225,0.058611,0.960533,0.663138,0.229324,0.710716,0.172361,0.28774,0.533435,0.867777,0.203722
38,0.432763,0.672838,0.706372,0.219889,0.733371,0.425342,0.795951,0.745837,0.539619,0.280461,0.077439,0.681751,0.101191,0.57977,0.094438,0.975917,0.024036,0.778343
39,0.90045,0.216377,0.502548,0.006737,0.395266,0.626697,0.08803,0.908858,0.290583,0.855561,0.568176,0.394067,0.721396,0.844113,0.572505,0.177089,0.228588,0.02488
40,0.319342,0.618888,0.283033,0.976955,0.86194,0.806073,0.481681,0.645975,0.391776,0.117738,0.342272,0.893344,0.450533,0.478618,0.830261,0.376518,0.307837,0.313464
41,0.695995,0.754343,0.507602,0.966766,0.590068,0.015554,0.40778,0.59824,0.141786,0.892681,0.618081,0.507881,0.620696,0.055307,0.123446,0.582143,0.345933,0.368465
42,0.31382,0.230892,0.193458,0.237496,0.819857,0.363541,0.494749,0.396321,0.319116,0.706505,0.627906,0.462874,0.395488,0.003075,0.702233,0.197967,0.126962,0.756595
43,0.261553,0.364876,0.675678,0.807905,0.35558,0.224149,0.188239,0.36463,0.519141,0.261333,0.12909,0.010721,0.080225,0.419133,0.274888,0.205538,0.345758,0.019784
44,0.700841,0.044158,0.364184,0.358653,0.187203,0.147218,0.515527,0.37174,0.145352,0.345761,0.560107,0.460026,0.13802,0.304133,0.367873,0.616879,0.172439,0.93614
45,0.227892,0.537106,0.541214,0.450598,0.976919,0.934207,0.786999,0.081736,0.785318,0.090272,0.538039,0.052987,0.989995,0.683856,0.475448,0.571522,0.211195,0.548205
46,0.49311,0.504483,0.322697,0.761704,0.75095,0.645239,0.44598,0.357647,0.982157,0.242955,0.268159,0.108691,0.219294,0.756738,0.708728,0.192217,0.83525,0.145788
47,0.580028,0.685831,0.752568,0.725918,0.347382,0.874776,0.958733,0.139793,0.802422,0.490022,0.871391,0.699132,0.926365,0.02935,0.033821,0.713127,0.061172,0.291455
48,0.188906,0.54154,0.912045,0.78339,0.78499,0.437049,0.442383,0.920764,0.739715,0.839327,0.71916,0.269508,0.816473,0.467138,0.244454,0.545155,0.568037,0.89815
49,0.731241,0.863965,0.413751,0.408343,0.870122,0.933385,0.488209,0.485385,0.614282,0.088398,0.578501,0.894705,0.975235,0.928287,0.175782,0.109947,0.729748,0.839588
50,0.548483,0.845172,0.729194,0.882563,0.544557,0.154234,0.156732,0.085822,0.807171,0.880886,0.958466,0.696137,0.052464,0.767013,0.762544,0.125493,0.137197,0.672338
51,0.621503,0.116498,0.33309,0.582554,0.230079,0.874432,0.720135,0.780937,0.728268,0.931503,0.608015,0.011377,0.884498,0.893468,0.251796,0.610485,0.884337,0.744892
52,0.372144,0.590325,0.212366,0.942024,0.583268,0.655402,0.89333,0.876025,0.260134,0.700267,0.013336,0.164724,0.739146,0.672152,0.892462,0.17906,0.24769,0.662635
53,0.420193,0.684218,0.115706,0.149078,0.23948,0.893037,0.494327,0.914399,0.490118,0.846656,0.971302,0.311429,0.930497,0.967336,0.225883,0.399025,0.154704,0.308495
54,0.49483,0.463118,0.670163,0.806039,0.783319,0.067382,0.83846,0.48268,0.120067,0.50416,0.710688,0.797706,0.225863,0.194849,0.006265,0.423232,0.000541,0.609961
55,0.469971,0.275302,0.89433,0.169453,0.67895,0.700715,0.680673,0.490381,0.646612,0.744741,0.639518,0.42762,0.82022,0.611179,0.746254,0.389088,0.058159,0.722665
56,0.675639,0.150405,0.311632,0.381796,0.320259,0.588855,0.62826,0.065962,0.211704,0.552149,0.218704,0.837346,0.012952,0.150344,0.93885,0.930359,0.120394,0.458949
57,0.577178,0.752216,0.447258,0.096389,0.354068,0.513195,0.600273,0.395241,0.272088,0.761855,0.669637,0.573601,0.136317,0.693496,0.297312,0.785267,0.204836,0.150063
58,0.416271,0.016757,0.486455,0.236089,0.049385,0.53851,0.993745,0.103242,0.623023,0.050557,0.060951,0.816367,0.304583,0.711068,0.613324,0.907053,0.698663,0.295468
59,0.001802,0.525928,0.239097,0.220974,0.421798,0.152854,0.653051,0.98997,0.339506,0.927935,0.115552,0.088208,0.183939,0.467215,0.582631,0.510927,0.690816,0.216082
60,0.794031,0.993835,0.873261,0.609322,0.269328,0.209109,0.656131,0.957252,0.038527,0.877166,0.959477,0.200747,0.724774,0.744751,0.920641,0.555742,0.42137,0.552837
61,0.519384,0.720459,0.618304,0.982274,0.132535,0.930594,0.470341,0.426497,0.344376,0.780752,0.977922,0.577477,0.814105,0.156465,0.797283,0.652689,0.111681,0.046897
62,0.326545,0.166317,0.763197,0.46034,0.625455,0.86817,0.198341,0.270859,0.183772,0.65692,0.311011,0.512982,0.927512,0.482265,0.496397,0.681575,0.528478,0.078511
63,0.499955,0.848635,0.572393,0.434382,0.586639,0.056238,0.842484,0.20482,0.534827,0.829792,0.450884,0.68075,0.021401,0.09146,0.08631,0.66312,0.001182,0.655232
64,0.093446,0.656736,0.591467,0.984236,0.000455,0.934402,0.737691,0.086527,0.194716,0.853641,0.017607,0.185088,0.32277,0.933738,0.341927,0.135203,0.027176,0.627864
65,0.904704,0.782039,0.704719,0.477372,0.78819,0.670275,0.530309,0.43122,0.019199,0.008672,0.145039,0.590548,0.265523,0.466366,0.547974,0.841141,0.940651,0.677898
66,0.989736,0.267427,0.963513,0.7014,0.73523,0.224589,0.444572,0.146833,0.104731,0.271517,0.003899,0.335618,0.633141,0.531411,0.085368,0.651587,0.428431,0.27303
67,0.058735,0.942505,0.801963,0.599915,0.228046,0.045727,0.248625,0.922228,0.428287,0.648744,0.871091,0.155482,0.002994,0.325404,0.105442,0.506526,0.671449,0.392649
68,0.358231,0.678411,0.668177,0.305622,0.325308,0.976853,0.619627,0.633375,0.816023,0.554408,0.59794,0.446966,0.881229,0.973888,0.809198,0.637964,0.631178,0.901038
69,0.730065,0.234898,0.791489,0.215513,0.031387,0.885674,0.258393,0.322349,0.839769,0.787327,0.081692,0.028175,0.998676,0.33785,0.268357,0.470118,0.350814,0.461137
70,0.314238,0.346045,0.454641,0.494646,0.090845,0.220277,0.703326,0.647263,0.561915,0.475815,0.232855,0.790283,0.084186,0.463566,0.453095,0.869658,0.933939,0.870952
71,0.56705,0.177108,0.923652,0.97439,0.184456,0.384183,0.706431,0.784512,0.79153,0.584418,0.595919,0.96942,0.780289,0.579778,0.775659,0.403782,0.008507,0.027936
72,0.416571,0.009716,0.205545,0.898984,0.970273,0.979411,0.997084,0.91752,0.253223,0.265699,0.115743,0.905807,0.147923,0.33984,0.997518,0.156076,0.042406,0.993527
73,0.774212,0.074135,0.566992,0.075313,0.033726,0.866891,0.805763,0.278881,0.044653,0.596491,0.10026,0.750435,0.347069,0.567752,0.532415,0.77781,0.103935,0.61863
74,0.958464,0.152637,0.91342,0.81351,0.268287,0.221665,0.693766,0.899623,0.728995,0.7887,0.895443,0.835303,0.762456,0.793162,0.053088,0.197476,0.316387,0.09191
75,0.888395,0.870795,0.108931,0.028973,0.627852,0.463551,0.792879,0.494348,0.534663,0.850516,0.671098,0.251595,0.906613,0.233728,0.263608,0.577143,0.266712,0.051095
76,0.620935,0.609231,0.21158,0.896138,0.405582,0.543861,0.166896,0.980796,0.975236,0.176109,0.860527,0.443267,0.183959,0.040867,0.824399,0.326884,0.236814,0.011527
77,0.160274,0.444424,0.447816,0.499449,0.385979,0.400671,0.952171,0.271486,0.465897,0.572152,0.768848,0.124724,0.87162,0.238546,0.090032,0.033496,0.944093,0.712302
78,0.947062,0.519582,0.907688,0.507188,0.955871,0.984756,0.133033,0.19164,0.542964,0.91426,0.812372,0.803103,0.576803,0.763255,0.990153,0.711147,0.018092,0.468206
79,0.023632,0.94255,0.382736,0.389034,0.659044,0.827031,0.508802,0.04735,0.661864,0.367904,0.306957,0.391254,0.047683,0.50934,0.82075,0.486984,0.112347,0.424874
80,0.297709,0.391524,0.444621,0.069859,0.566849,0.894674,0.55112,0.732438,0.423336,0.353708,0.419019,0.387133,0.562124,0.247444,0.624426,0.800995,0.476591,0.637004
81,0.281613,0.401356,0.101126,0.608374,0.61875,0.567504,0.157369,0.550121,0.57247,0.802799,0.001669,0.730201,0.220408,0.00429,0.365599,0.074597,0.600478,0.270175
82,0.671826,0.176558,0.975836,0.367237,0.244667,0.64866,0.48012,0.001579,0.080252,0.340714,0.997436,0.735857,0.575165,0.634388,0.962224,0.061922,0.32448,0.026092
83,0.487363,0.147919,0.771507,0.542984,0.765564,0.152937,0.375199,0.001373,0.800224,0.284621,0.793995,0.381925,0.09578,0.176251,0.867988,0.42574,0.429282,0.771157
84,0.092889,0.023154,0.618869,0.830264,0.183751,0.089141,0.997732,0.934558,0.788926,0.035819,0.369062,0.258865,0.16604,0.341903,0.233861,0.651334,0.123905,0.401498
85,0.012858,0.553938,0.661233,0.587194,0.631546,0.47602,0.847819,0.014489,0.326019,0.517546,0.358774,0.875135,0.97115,0.740654,0.262231,0.66393,0.066928,0.531235
86,0.604316,0.569113,0.637732,0.133157,0.43753,0.850546,0.457865,0.467306,0.053947,0.482442,0.372195,0.793885,0.269252,0.004587,0.966988,0.717243,0.128715,0.70294
87,0.491483,0.527199,0.823173,0.04034,0.237079,0.301742,0.841892,0.780886,0.241119,0.692598,0.318808,0.29202,0.550243,0.330892,0.314361,0.202723,0.421006,0.360214
88,0.601382,0.738744,0.447157,0.072048,0.688899,0.505709,0.287809,0.319305,0.126337,0.759732,0.645672,0.985502,0.991931,0.550394,0.062394,0.586221,0.492703,0.22771
89,0.564024,0.147916,0.921096,0.546226,0.484068,0.556228,0.035327,0.507652,0.10306,0.328519,0.573201,0.057133,0.837281,0.578732,0.404118,0.497364,0.630555,0.200239
90,0.890459,0.577498,0.247605,0.618621,0.05159,0.661403,0.663103,0.02662,0.32208,0.425995,0.841917,0.684892,0.319356,0.68722,0.005795,0.465555,0.329716,0.022268
91,0.918397,0.944677,0.204078,0.86774,0.191013,0.212513,0.316722,0.013853,0.334177,0.409226,0.569064,0.657348,0.764407,0.555649,0.181688,0.656981,0.23384,0.669569
92,0.188257,0.606226,0.850233,0.076855,0.127818,0.222268,0.57966,0.635962,0.6848,0.66978,0.273286,0.154559,0.206176,0.170291,0.602063,0.881005,0.216115,0.984522
93,0.942121,0.777401,0.369976,0.350413,0.359204,0.088766,0.60411,0.622302,0.882647,0.037801,0.254441,0.347155,0.802471,0.143148,0.921305,0.810973,0.423848,0.106466
94,0.787727,0.507046,0.297936,0.791436,0.418961,0.603405,0.696639,0.112292,0.731677,0.432465,0.162613,0.952208,0.844311,0.369212,0.996679,0.506082,0.51365,0.418851
95,0.639026,0.109593,0.139393,0.406534,0.416009,0.138563,0.869341,0.285305,0.407335,0.685423,0.451332,0.286388,0.240031,0.521467,0.831885,0.626825,0.206046,0.853365
96,0.659607,0.985045,0.826267,0.448554,0.456161,0.306976,0.358626,0.772215,0.268225,0.750893,0.517103,0.397221,0.291792,0.005156,0.376553,0.465356,0.758832,0.823021
97,0.54606,0.348433,0.844357,0.563224,0.065344,0.718633,0.389824,0.005786,0.043728,0.861109,0.093251,0.453727,0.702748,0.587931,0.527278,0.296173,0.418562,0.637978
98,0.917263,0.173664,0.681502,0.124821,0.479311,0.291173,0.532409,0.00083,0.682131,0.244423,0.353926,0.904851,0.188082,0.986781,0.560993,0.276155,0.154341,0.625252
99,0.233263,0.57216,0.814862,0.468559,0.115664,0.723286,0.978132,0.155404,0.110413,0.165944,0.535284,0.553617,0.623842,0.497288,0.709665,0.392667,0.725926,0.485023
100,0.599316,0.120199,0.855532,0.117339,0.703443,0.38164,0.174023,0.736578,0.598455,0.222994,0.137367,0.169256,0.72533,0.017682,0.608461,0.473746,0.471505,0.318795
101,0.814243,0.372215,0.039006,0.160717,0.010375,0.37599,0.317645,0.275823,0.371728,0.343379,0.105079,0.861425,0.52191,0.338977,0.152853,0.306776,0.746145,0.533767
102,0.134761,0.546526,0.552774,0.718575,0.464891,0.32352,0.239607,0.018604,0.021706,0.350048,0.966865,0.992205,0.164524,0.357498,0.804189,0.349321,0.358495,0.577872
103,0.615508,0.007713,0.79453,0.764045,0.171707,0.903311,0.70766,0.025581,0.765984,0.770435,0.010921,0.106517,0.818656,0.978419,0.054767,0.407333,0.166044,0.499048
104,0.402833,0.886912,0.854738,0.088573,0.709868,0.616094,0.761893,0.172887,0.558271,0.477749,0.230051,0.577659,0.786193,0.169053,0.272577,0.012903,0.511426,0.140094
105,0.766036,0.241519,0.65643,0.30078,0.721211,0.547605,0.779523,0.047181,0.981357,0.258452,0.563892,0.156225,0.266698,0.449693,0.297136,0.893632,0.094169,0.969853
106,0.067714,0.573491,0.389293,0.81222,0.456588,0.541577,0.445432,0.624622,0.484032,0.94479,0.662933,0.493477,0.86138,0.319046,0.902047,0.613297,0.81306,0.775278
107,0.606814,0.673295,0.720499,0.628434,0.067916,0.120919,0.540892,0.163868,0.92346,0.54336,0.986696,0.824193,0.251594,0.947439,0.815635,0.971781,0.476105,0.802714
108,0.857079,0.406774,0.710433,0.134765,0.668139,0.840961,0.122309,0.835735,0.136826,0.222935,0.74496,0.705467,0.425923,0.196504,0.846158,0.192741,0.12851,0.959435
109,0.628348,0.908846,0.172243,0.290006,0.718738,0.247919,0.975991,0.344719,0.458116,0.864962,0.479637,0.013844,0.435393,0.129609,0.743618,0.975008,0.73844,0.710592
110,0.321338,0.77915,0.252426,0.558951,0.781264,0.640133,0.760932,0.903493,0.212766,0.338298,0.298061,0.193331,0.302514,0.441934,0.590289,0.146841,0.43118,0.389109
111,0.655796,0.662525,0.451412,0.822177,0.059628,0.429418,0.465759,0.410451,0.005627,0.795878,0.038353,0.70412,0.979616,0.618537,0.175597,0.465991,0.398545,0.445225
112,0.338153,0.588813,0.897668,0.877097,0.307164,0.856195,0.235159,0.722401,0.523752,0.258448,0.655627,0.018245,0.044616,0.615857,0.086568,0.924993,0.979746,0.917222
113,0.668593,0.79883,0.3496,0.248992,0.532356,0.572465,0.639094,0.107994,0.224283,0.463894,0.632709,0.303823,0.751886,0.952718,0.424022,0.323548,0.279174,0.959596
114,0.128344,0.091966,0.455312,0.429979,0.636685,0.031929,0.471696,0.299657,0.662127,0.920872,0.701692,0.522493,0.534113,0.243841,0.350918,0.995099,0.617644,0.168823
115,0.279992,0.879271,0.63603,0.194785,0.722047,0.18224,0.744519,0.075742,0.553819,0.099534,0.238647,0.986491,0.832798,0.203073,0.572427,0.300524,0.440039,0.892113
116,0.032718,0.325978,0.687273,0.467366,0.612275,0.895806,0.779672,0.62952,0.261461,0.701097,0.964178,0.738676,0.640538,0.413114,0.07169,0.131263,0.688337,0.565359
117,0.083909,0.049551,0.288847,0.643027,0.43484,0.928815,0.202171,0.662824,0.422787,0.221965,0.080366,0.534207,0.329265,0.2342,0.244286,0.567393,0.377657,0.311412
118,0.55477,0.365485,0.073701,0.32905,0.927618,0.260212,0.8356,0.838259,0.247728,0.760122,0.401778,0.901037,0.509692,0.218589,0.457524,0.502581,0.781292,0.637167
119,0.231698,0.337642,0.870551,0.456772,0.564709,0.776623,0.180018,0.110318,0.236966,0.87551,0.600829,0.576787,0.888502,0.176602,0.442176,0.225616,0.358093,0.125891
120,0.516083,0.999956,0.060396,0.700408,0.126575,0.098681,0.887783,0.752778,0.46059,0.995506,0.467991,0.213619,0.250376,0.440032,0.000327,0.860677,0.770336,0.468918
121,0.65957,0.288238,0.948794,0.660646,0.014314,0.124173,0.006364,0.809901,0.590015,0.650179,0.686792,0.472619,0.807964,0.627773,0.273899,0.079719,0.970724,0.566259
122,0.881186,0.34392,0.309193,0.335828,0.812125,0.27765,0.693993,0.627549,0.06738,0.081783,0.677583,0.890846,0.271227,0.354782,0.265235,0.004786,0.153938,0.95723
123,0.355061,0.832958,0.295063,0.391554,0.626317,0.875379,0.608945,0.30703,0.906314,0.970233,0.548924,0.01857,0.700846,0.147756,0.464664,0.76082,0.28841,0.529396
124,0.318679,0.810599,0.355898,0.838085,0.636617,0.829036,0.884538,0.523823,0.199141,0.487887,0.752572,0.842574,0.742985,0.617179,0.628848,0.565647,0.586025,0.310964
125,0.313667,0.461118,0.06237,0.177676,0.285814,0.548918,0.104361,0.780891,0.670182,0.564896,0.859316,0.937391,0.01619,0.222749,0.787952,0.951543,0.98224,0.21071
126,0.11785,0.872249,0.725188,0.148527,0.498325,0.963008,0.958369,0.720791,0.757893,0.876294,0.448149,0.889077,0.425961,0.998243,0.842408,0.259139,0.59435,0.054691
127,0.663183,0.014953,0.655612,0.477927,0.07148,0.727487,0.006285,0.298435,0.730995,0.979997,0.157361,0.273595,0.043978,0.356465,0.130721,0.634872,0.348699,0.681493
128,0.819655,0.724521,0.162652,0.483746,0.544465,0.72288,0.981657,0.955026,0.103395,0.824448,0.781474,0.610681,0.294916,0.91924,0.845519,0.724791,0.029389,0.324698
129,0.473005,0.079595,0.153217,0.173268,0.165188,0.680673,0.989904,0.471501,0.547165,0.317807,0.66219,0.285711,0.240808,0.25,0.361389,0.187854,0.659413,0.189609
130,0.558297,0.171162,0.689181,0.350689,0.586138,0.914684,0.837739,0.18593,0.185441,0.312907,0.546455,0.674535,0.997042,0.690411,0.468275,0.477159,0.342558,0.978142
131,0.95848,0.961412,0.931733,0.125092,0.779505,0.696922,0.760644,0.981946,0.922381,0.549842,0.358917,0.555639,0.098809,0.056919,0.261871,0.952091,0.566574,0.460582
132,0.698915,0.987333,0.338909,0.787329,0.191699,0.216647,0.726415,0.634938,0.373079,0.532243,0.482569,0.714799,0.051571,0.554308,0.597363,0.722953,0.404098,0.561039
133,0.745035,0.636096,0.797843,0.392212,0.94929,0.066243,0.268928,0.122719,0.452175,0.115464,0.72952,0.857868,0.582855,0.6631,0.978885,0.439103,0.44471,0.651207
134,0.889498,0.448253,0.530524,0.174401,0.000184,0.318614,0.288978,0.90329,0.723893,0.397803,0.872655,0.57398,0.737215,0.035328,0.632524,0.846498,0.820198,0.493559
135,0.215791,0.872683,0.087688,0.220364,0.648174,0.494409,0.348531,0.310139,0.412051,0.600116,0.735179,0.521278,0.861551,0.382096,0.647549,0.115825,0.937919,0.326148
136,0.650166,0.414311,0.019101,0.397406,0.205159,0.212133,0.182904,0.940968,0.283881,0.20188,0.590576,0.245287,0.180269,0.857394,0.199223,0.804537,0.140165,0.033196
137,0.717395,0.550706,0.777918,0.464198,0.206438,0.258114,0.852247,0.760118,0.867753,0.406583,0.505365,0.994314,0.353041,0.568862,0.047383,0.043324,0.722019,0.423877
138,0.842228,0.109895,0.841078,0.555926,0.594229,0.74153,0.306268,0.463833,0.722441,0.433655,0.731595,0.582562,0.25176,0.940227,0.857169,0.489385,0.66569,0.904754
139,0.343786,0.517507,0.525556,0.572441,0.661092,0.741614,0.819438,0.581814,0.213463,0.764828,0.394715,0.297212,0.515271,0.321089,0.648103,0.512081,0.709379,0.337629
140,0.688795,0.134467,0.574602,0.101164,0.074919,0.59194,0.705573,0.980939,0.30953,0.825207,0.532235,0.114734,0.241552,0.214168,0.499473,0.338338,0.944597,0.85893
141,0.604401,0.319835,0.474295,0.046544,0.050805,0.16758,0.064552,0.472254,0.794344,0.300549,0.026426,0.794057,0.224402,0.684428,0.025006,0.908363,0.506425,0.218031
142,0.409361,0.246652,0.214865,0.72277,0.316236,0.00076,0.814542,0.992459,0.408389,0.942732,0.219421,0.317688,0.128903,0.435655,0.474081,0.679956,0.494301,0.11987
143,0.101686,0.732211,0.63543,0.554216,0.252439,0.273547,0.975298,0.843774,0.877052,0.034336,0.381279,0.957508,0.908413,0.17534,0.856833,0.37407,0.098793,0.568988
144,0.353048,0.649758,0.380008,0.667386,0.470361,0.0406,0.464686,0.336678,0.546086,0.30155,0.622118,0.281462,0.996659,0.518456,0.656481,0.731254,0.150286,0.198789
145,0.963485,0.836309,0.177108,0.38839,0.373359,0.794618,0.013232,0.639116,0.173795,0.711355,0.829642,0.724353,0.64289,0.793419,0.181552,0.202852,0.244094,0.840053
146,0.216524,0.88962,0.377464,0.111927,0.569971,0.024983,0.222861,0.386898,0.484235,0.388009,0.744014,0.479874,0.015149,0.901857,0.894653,0.283283,0.470386,0.914332
147,0.113638,0.11013,0.601466,0.898905,0.209389,0.781206,0.720031,0.544602,0.744905,0.853283,0.348497,0.825428,0.522041,0.145256,0.139811,0.872351,0.783844,0.549499
148,0.367679,0.989888,0.031759,0.714831,0.879044,0.375979,0.454547,0.29979,0.64416,0.666471,0.091283,0.225141,0.760323,0.018734,0.401639,0.257468,0.44062,0.043502
